dates,return
20120914,0.031728111
20120917,-0.003961965
20120918,0.001060727
20120919,0.000719016
20120920,-0.009718651
20120921,0.005880781
20120924,0.000569454
20120925,-0.00580513
20120926,-0.006144335
20120927,0.004607941
20120928,0.003325434
20121002,-3.81E-05
20121004,-0.002133496
20121005,0.000572694
20121008,-0.007478918
20121009,-0.001730037
20121010,-0.017368867
20121011,-0.009053498
20121012,-0.001582028
20121015,-0.003961337
20121016,0.010101814
20121017,0.008189621
20121018,0.004725455
20121019,-0.009639678
20121022,-0.002237136
20121023,-0.009283298
20121024,-0.008179147
20121025,0.007686149
20121026,-0.018035913
20121029,0.001941905
20121030,0.003472503
20121031,0.006679543
20121101,-0.009393237
20121102,0.012952427
20121105,-0.006134481
20121106,0.011222445
20121107,0.00554895
20121108,-0.014071738
20121109,-0.005757006
20121112,-0.002050746
20121113,-0.005157547
20121114,0.0036452
20121115,-0.01275222
20121116,-0.00486429
20121119,0.009735059
20121120,0.007729233
20121121,-0.002825771
20121122,0.010080155
20121123,0.007735161
20121126,-0.002823735
20121127,0.010688789
20121128,-0.006669034
20121129,0.011957731
20121130,-0.001884348
20121203,0.00519174
20121204,-0.002895489
20121205,0.007063533
20121206,0.002493863
20121207,0.00586932
20121210,0.000966072
20121211,0.004208007
20121212,0.005958788
20121213,0.015745022
20121214,-0.004627714
20121217,-0.00680375
20121218,0.005594459
20121220,0.00208152
20121221,-0.010914722
20121224,0.000840047
20121226,-0.000534127
20121227,0.002710234
20121228,0.004720573
20130102,0.019854501
20130103,-0.00609303
20130104,-0.005158493
20130107,-0.000638762
20130108,-0.007594842
20130109,-0.003978026
20130110,0.007797642
20130111,-0.006152104
20130114,0.005620538
20130115,-0.012726586
20130116,-0.003595609
20130117,-0.001497178
20130118,0.006189927
20130121,-0.00156662
20130122,0.0061615
20130123,-0.006884485
20130124,-0.009038682
20130125,-0.010357888
20130128,-0.005467469
20130129,0.010052619
20130130,0.004859653
20130131,-0.001547568
20130201,-0.001666215
20130204,-0.002911039
20130205,-0.008057924
20130206,-0.002001413
20130207,-0.001218985
20130208,0.012165354
20130212,-0.001711463
20130213,0.016637444
20130214,0.001992948
20130215,0.000650245
20130218,7.64E-05
20130219,0.002025762
20130220,0.022543485
20130221,-0.00455105
20130222,0.001124227
20130225,-0.004267266
20130226,-0.004999812
20130227,0.001360133
20130228,0.011205856
20130304,-0.006977352
20130305,0.001502968
20130306,0.002663765
20130307,-0.009242283
20130308,-0.000793111
20130311,-0.001587482
20130312,-0.006511452
20130313,0.003429486
20130314,0.000151901
20130315,-0.009606257
20130318,-0.00973777
20130319,0.005768486
20130320,-0.010585473
20130321,-0.004746343
20130322,-0.001915409
20130325,0.016645126
20130326,0.003698282
20130327,0.005066401
20130328,0
20130329,0.005842817
20130401,-0.00425225
20130402,-0.00564304
20130403,-0.001648836
20130404,-0.012713166
20130405,-0.016650457
20130408,-0.001503343
20130409,0.000554697
20130410,0.007167465
20130411,0.007234411
20130412,-0.016316652
20130415,-0.001944444
20130416,0.001073516
20130417,-0.001072365
20130418,-0.014552105
20130419,0.003711923
20130422,0.010813201
20130423,-0.005766325
20130424,0.007959682
